id	repo_path	remote	branch	baseline_head	baseline_date	has_dossier	watch_globs	triggers
D-cve.alchemix-v3.repo	D-cve/alchemix-v3/repo	alchemix-finance/v3	master	ea6f58b	2026-08-28	yes	contracts/,src/	
D-cve.lombard.evm-smart-contracts	D-cve/lombard/evm-smart-contracts	lombard-finance/evm-smart-contracts	main	7fe83e5	2026-08-05	yes	contracts/,src/	
D-cve.morpho-blue	D-cve/morpho-blue	morpho-org/morpho-blue	main	c3f327e	2026-09-01	no	contracts/,src/	
D-cve.robinhood.poc-jit-blocklist	D-cve/robinhood/poc-jit-blocklist	none	master			yes	contracts/,src/	
D-cve.stacks.stacks-core	D-cve/stacks/stacks-core	stacks-network/stacks-core	main	9d4050742	2026-09-09	yes	contracts/,src/	
D-cve.strata.repo	D-cve/strata/repo	Strata-Markets/contracts	tranches	2be97f9	2026-05-25	yes	contracts/,src/	
D-cve.tenbin.repo	D-cve/tenbin/repo	tenbinlabs/tenbin-contracts	master	031df2d	2026-08-31	yes	contracts/,src/	
D-cve.termstructure.termmax-contract-v2	D-cve/termstructure/termmax-contract-v2	term-structure/termmax-contract-v2	main	e314f3f	2026-05-27	yes	contracts/,src/	
D-cve.vault-v2	D-cve/vault-v2	morpho-org/vault-v2	main	0809fbbb	2026-08-31	no	contracts/,src/	
Decentra.code	Decentra/code	decentraland/social-service-ea	DETACHED	4db7827	2026-08-25	no	contracts/,src/	
Decentra.dhedge.V2-Public	Decentra/dhedge/V2-Public	dhedge/V2-Public	master	bf36c1e	2026-08-04	no	contracts/,src/	
git.2026-04-dre-labs-audits-SatisLoeb	git/2026-04-dre-labs-audits-SatisLoeb	sherlock-audit/2026-04-dre-labs-audits-SatisLoeb	main	7b7bb24	2026-06-08	no	contracts/,src/	
gits.grunt	gits/grunt	3FLabs/grunt	main	96a18e3	2026-06-30	no	contracts/,src/	
J	J	none	main	a09993d	2026-09-04	no	contracts/,src/	
J.rsk.2wp-api	J/rsk/2wp-api	rsksmart/2wp-api	main	556fe77	2026-09-01	no	contracts/,src/	
J.rsk.2wp-app	J/rsk/2wp-app	rsksmart/2wp-app	main	b0e728ff	2026-08-05	no	contracts/,src/	
J.rsk.bridges-core-sdk	J/rsk/bridges-core-sdk	rsksmart/bridges-core-sdk	main	687446e	2026-08-26	no	contracts/,src/	
J.rsk.flyover-sdk	J/rsk/flyover-sdk	rsksmart/flyover-sdk	main	357773d	2026-08-26	no	contracts/,src/	
J.rsk.liquidity-provider-server	J/rsk/liquidity-provider-server	rsksmart/liquidity-provider-server	master	50ade621	2026-07-06	no	contracts/,src/	
L.babylon-staking-indexer	L/babylon-staking-indexer	babylonlabs-io/babylon-staking-indexer	DETACHED	9b0be1e	2025-11-11	no	contracts/,src/	
L.babylon-toolkit	L/babylon-toolkit	babylonlabs-io/babylon-toolkit	DETACHED	3aacf82	2025-11-13	no	contracts/,src/	
